from,to,net_species_gain,path_astar,path_nominal,path_length,path_length_astar,net_length_improvement,net_cost,net_cost_astar,net_cost_improvement,astar_time
1*4|1,4*5|1,0,(1*4|1)-(4|1)+(4*5|1),(1*4|1)-(4|1)+(4*5|1),2,2,0,4.0,4.0,0.0,7.8624e-5
1*4|1,1*4*5|1,1,(1*4|1)+(1*4*5|1),(1*4|1)+(1*4*5|1),1,1,0,1.0,1.0,0.0,3.638e-5
1*4|1,2*4*5|1,1,(1*4|1)-(4|1)+(2*4|1)+(2*4*5|1),(1*4|1)-(4|1)+(2*4|1)+(2*4*5|1),3,3,0,5.0,5.0,0.0,0.000101445
1*4|1,1*2*4*5|1,2,(1*4|1)+(1*2*4|1)+(1*2*4*5|1),(1*4|1)+(1*2*4|1)+(1*2*4*5|1),2,2,0,2.0,2.0,0.0,7.5243e-5
1*4|1,3*4*5|1,1,(1*4|1)+(1*3*4|1)+(1*3*4*5|1)-(3*4*5|1),(1*4|1)-(4|1)+(3*4|1)+(3*4*5|1),3,3,0,5.0,5.0,0.0,0.000134765
1*4|1,1*3*4*5|1,2,(1*4|1)+(1*3*4|1)+(1*3*4*5|1),(1*4|1)+(1*3*4|1)+(1*3*4*5|1),2,2,0,2.0,2.0,0.0,8.2762e-5
1*4|1,2*3*4*5|1,2,(1*4|1)-(4|1)+(2*4|1)+(2*3*4|1)+(2*3*4*5|1),(1*4|1)-(4|1)+(2*4|1)+(2*3*4|1)+(2*3*4*5|1),4,4,0,6.0,6.0,0.0,0.000195299
1*4|1,1*2*3*4*5|1,3,(1*4|1)+(1*3*4|1)+(1*3*4*5|1)+(1*2*3*4*5|1),(1*4|1)+(1*2*4|1)+(1*2*3*4|1)+(1*2*3*4*5|1),3,3,0,3.0,3.0,0.0,0.00012901
1*4|1,|2,-2,(1*4|1)=(1*4|2)-(1|2)-(|2),(1*4|1)=(1*4|2)-(4|2)-(|2),3,3,0,11.0,11.0,0.0,0.000267952
1*4|1,1|2,-1,(1*4|1)-(1|1)=(1|2),(1*4|1)=(1*4|2)-(1|2),2,2,0,8.0,8.0,0.0,8.0284e-5
1*4|1,2|2,-1,(1*4|1)+(1*2*4|1)=(1*2*4|2)-(2*4|2)-(2|2),(1*4|1)=(1*4|2)-(4|2)-(|2)+(2|2),4,4,0,12.0,12.0,0.0,0.000278481
1*4|1,1*2|2,0,(1*4|1)-(1|1)+(1*2|1)=(1*2|2),(1*4|1)=(1*4|2)-(1|2)+(1*2|2),3,3,0,9.0,9.0,0.0,0.000134926
1*4|1,3|2,-1,(1*4|1)+(1*3*4|1)=(1*3*4|2)-(3*4|2)-(3|2),(1*4|1)=(1*4|2)-(4|2)-(|2)+(3|2),4,4,0,12.0,12.0,0.0,0.000279452
1*4|1,1*3|2,0,(1*4|1)=(1*4|2)+(1*3*4|2)-(1*3|2),(1*4|1)=(1*4|2)-(1|2)+(1*3|2),3,3,0,9.0,9.0,0.0,0.000135613
1*4|1,2*3|2,0,(1*4|1)+(1*2*4|1)-(2*4|1)-(2|1)=(2|2)+(2*3|2),(1*4|1)=(1*4|2)-(4|2)-(|2)+(2|2)+(2*3|2),5,5,0,13.0,13.0,0.0,0.000345252
1*4|1,1*2*3|2,1,(1*4|1)=(1*4|2)+(1*3*4|2)+(1*2*3*4|2)-(1*2*3|2),(1*4|1)=(1*4|2)-(1|2)+(1*2|2)+(1*2*3|2),4,4,0,10.0,10.0,0.0,0.000197849
1*4|1,4|2,-1,(1*4|1)-(4|1)=(4|2),(1*4|1)=(1*4|2)-(4|2),2,2,0,8.0,8.0,0.0,8.4084e-5
1*4|1,1*4|2,0,(1*4|1)=(1*4|2),(1*4|1)=(1*4|2),1,1,0,5.0,5.0,0.0,3.3402e-5
1*4|1,2*4|2,0,(1*4|1)-(4|1)+(2*4|1)=(2*4|2),(1*4|1)=(1*4|2)-(4|2)+(2*4|2),3,3,0,9.0,9.0,0.0,0.000131717
1*4|1,1*2*4|2,1,(1*4|1)+(1*2*4|1)=(1*2*4|2),(1*4|1)=(1*4|2)+(1*2*4|2),2,2,0,6.0,6.0,0.0,7.7178e-5
1*4|1,3*4|2,0,(1*4|1)=(1*4|2)+(1*3*4|2)-(3*4|2),(1*4|1)=(1*4|2)-(4|2)+(3*4|2),3,3,0,9.0,9.0,0.0,0.000128802
