from,to,net_species_gain,path_astar,path_nominal,path_length,path_length_astar,net_length_improvement,net_cost,net_cost_astar,net_cost_improvement,astar_time
1*3|3,1*2*4|1,1,(1*3|3)-(1|3)+(1*4|3)=(1*4|2)=(1*4|1)+(1*2*4|1),(1*3|3)=(1*3|2)=(1*3|1)-(1|1)+(1*2|1)+(1*2*4|1),5,5,0,15.0,15.0,0.0,0.000300421
1*3|3,3*4|1,0,(1*3|3)=(1*3|2)>(3|2)=(3|1)+(3*4|1),(1*3|3)=(1*3|2)=(1*3|1)-(3|1)+(3*4|1),4,4,0,14.0,11.1,2.9,0.000120295
1*3|3,1*3*4|1,1,(1*3|3)=(1*3|2)=(1*3|1)+(1*3*4|1),(1*3|3)=(1*3|2)=(1*3|1)+(1*3*4|1),3,3,0,11.0,11.0,0.0,0.000113981
1*3|3,2*3*4|1,1,(1*3|3)=(1*3|2)>(3|2)=(3|1)+(2*3|1)+(2*3*4|1),(1*3|3)=(1*3|2)=(1*3|1)-(3|1)+(2*3|1)+(2*3*4|1),5,5,0,15.0,12.1,2.9,0.000171353
1*3|3,1*2*3*4|1,2,(1*3|3)+(1*2*3|3)+(1*2*3*4|3)=(1*2*3*4|2)=(1*2*3*4|1),(1*3|3)=(1*3|2)=(1*3|1)+(1*2*3|1)+(1*2*3*4|1),4,4,0,12.0,12.0,0.0,0.00019071
1*3|3,5|1,-1,(1*3|3)=(1*3|2)>(3|2)=(3|1)-(|1)+(5|1),(1*3|3)=(1*3|2)=(1*3|1)-(3|1)-(|1)+(5|1),5,5,0,17.0,14.1,2.9,0.00024155
1*3|3,1*5|1,0,(1*3|3)=(1*3|2)=(1*3|1)+(1*3*5|1)-(1*5|1),(1*3|3)=(1*3|2)=(1*3|1)-(1|1)+(1*5|1),4,4,0,14.0,14.0,0.0,0.000181072
1*3|3,2*5|1,0,(1*3|3)=(1*3|2)>(3|2)=(3|1)-(|1)+(2|1)+(2*5|1),(1*3|3)=(1*3|2)=(1*3|1)-(3|1)-(|1)+(2|1)+(2*5|1),6,6,0,18.0,15.1,2.9,0.000347554
1*3|3,1*2*5|1,1,(1*3|3)=(1*3|2)=(1*3|1)+(1*3*5|1)-(1*5|1)+(1*2*5|1),(1*3|3)=(1*3|2)=(1*3|1)-(1|1)+(1*2|1)+(1*2*5|1),5,5,0,15.0,15.0,0.0,0.000295389
1*3|3,3*5|1,0,(1*3|3)=(1*3|2)>(3|2)=(3|1)+(3*5|1),(1*3|3)=(1*3|2)=(1*3|1)-(3|1)+(3*5|1),4,4,0,14.0,11.1,2.9,0.000117579
1*3|3,1*3*5|1,1,(1*3|3)=(1*3|2)=(1*3|1)+(1*3*5|1),(1*3|3)=(1*3|2)=(1*3|1)+(1*3*5|1),3,3,0,11.0,11.0,0.0,0.00012116
1*3|3,2*3*5|1,1,(1*3|3)=(1*3|2)>(3|2)=(3|1)+(2*3|1)+(2*3*5|1),(1*3|3)=(1*3|2)=(1*3|1)-(3|1)+(2*3|1)+(2*3*5|1),5,5,0,15.0,12.1,2.9,0.000163074
1*3|3,1*2*3*5|1,2,(1*3|3)=(1*3|2)+(1*3*5|2)+(1*2*3*5|2)=(1*2*3*5|1),(1*3|3)=(1*3|2)=(1*3|1)+(1*2*3|1)+(1*2*3*5|1),4,4,0,12.0,12.0,0.0,0.000194386
1*3|3,4*5|1,0,(1*3|3)=(1*3|2)+(1*3*4|2)>(3*4|2)=(3*4|1)-(4|1)+(4*5|1),(1*3|3)=(1*3|2)=(1*3|1)-(3|1)-(|1)+(4|1)+(4*5|1),6,6,0,18.0,15.1,2.9,0.00033283
1*3|3,1*4*5|1,1,(1*3|3)=(1*3|2)+(1*3*5|2)+(1*3*4*5|2)=(1*3*4*5|1)-(1*4*5|1),(1*3|3)=(1*3|2)=(1*3|1)-(1|1)+(1*4|1)+(1*4*5|1),5,5,0,15.0,15.0,0.0,0.000346124
1*3|3,2*4*5|1,1,(1*3|3)=(1*3|2)+(1*3*4|2)>(3*4|2)-(4|2)=(4|1)+(2*4|1)+(2*4*5|1),(1*3|3)=(1*3|2)=(1*3|1)-(3|1)-(|1)+(2|1)+(2*4|1)+(2*4*5|1),7,7,0,19.0,16.1,2.9,0.000538555
1*3|3,1*2*4*5|1,2,(1*3|3)=(1*3|2)=(1*3|1)+(1*3*5|1)+(1*2*3*5|1)-(1*2*5|1)+(1*2*4*5|1),(1*3|3)=(1*3|2)=(1*3|1)-(1|1)+(1*2|1)+(1*2*4|1)+(1*2*4*5|1),6,6,0,16.0,16.0,0.0,0.000393362
1*3|3,3*4*5|1,1,(1*3|3)=(1*3|2)>(3|2)=(3|1)+(3*4|1)+(3*4*5|1),(1*3|3)=(1*3|2)=(1*3|1)-(3|1)+(3*4|1)+(3*4*5|1),5,5,0,15.0,12.1,2.9,0.00016717
1*3|3,1*3*4*5|1,2,(1*3|3)=(1*3|2)+(1*3*5|2)+(1*3*4*5|2)=(1*3*4*5|1),(1*3|3)=(1*3|2)=(1*3|1)+(1*3*4|1)+(1*3*4*5|1),4,4,0,12.0,12.0,0.0,0.000185181
1*3|3,2*3*4*5|1,2,(1*3|3)=(1*3|2)>(3|2)=(3|1)+(3*5|1)+(2*3*5|1)+(2*3*4*5|1),(1*3|3)=(1*3|2)=(1*3|1)-(3|1)+(2*3|1)+(2*3*4|1)+(2*3*4*5|1),6,6,0,16.0,13.1,2.9,0.000189553
1*3|3,1*2*3*4*5|1,3,(1*3|3)=(1*3|2)+(1*3*5|2)+(1*3*4*5|2)+(1*2*3*4*5|2)=(1*2*3*4*5|1),(1*3|3)=(1*3|2)=(1*3|1)+(1*2*3|1)+(1*2*3*4|1)+(1*2*3*4*5|1),5,5,0,13.0,13.0,0.0,0.000334183
1*3|3,|2,-2,(1*3|3)=(1*3|2)>(3|2)-(|2),(1*3|3)=(1*3|2)-(3|2)-(|2),3,3,0,11.0,8.1,2.9,8.8246e-5
1*3|3,1|2,-1,(1*3|3)=(1*3|2)-(1|2),(1*3|3)=(1*3|2)-(1|2),2,2,0,8.0,8.0,0.0,7.972e-5
1*3|3,2|2,-1,(1*3|3)=(1*3|2)>(3|2)-(|2)+(2|2),(1*3|3)=(1*3|2)-(3|2)-(|2)+(2|2),4,4,0,12.0,9.1,2.9,0.000157974
1*3|3,3|2,-1,(1*3|3)=(1*3|2)>(3|2),(1*3|3)=(1*3|2)-(3|2),2,2,0,8.0,5.1,2.9,6.3145e-5
1*3|3,4|2,-1,(1*3|3)=(1*3|2)+(1*3*4|2)>(3*4|2)-(4|2),(1*3|3)=(1*3|2)-(3|2)-(|2)+(4|2),4,4,0,12.0,9.1,2.9,0.000157888
1*3|3,3*4|2,0,(1*3|3)=(1*3|2)>(3|2)+(3*4|2),(1*3|3)=(1*3|2)-(3|2)+(3*4|2),3,3,0,9.0,6.1,2.9,8.6881e-5
