from,to,net_species_gain,path_astar,path_nominal,path_length,path_length_astar,net_length_improvement,net_cost,net_cost_astar,net_cost_improvement,astar_time
2*10|1,5*9|1,0,(2*10|1)+(2*9*10|1)>(2*9|1)-(9|1)+(5*9|1),(2*10|1)-(10|1)-(|1)+(5|1)+(5*9|1),4,4,0,8.0,5.1,2.9,0.000523444
2*10|1,4*5*9|1,1,(2*10|1)+(2*4*10|1)+(2*4*9*10|1)>(4*9|1)+(4*5*9|1),(2*10|1)-(10|1)-(|1)+(4|1)+(4*5|1)+(4*5*9|1),5,4,1,9.0,3.1,5.9,0.000580591
2*10|1,10|1,-1,(2*10|1)-(10|1),(2*10|1)-(10|1),1,1,0,3.0,3.0,0.0,0.000182413
2*10|1,1*10|1,0,(2*10|1)+(1*2*10|1)>(1*10|1),(2*10|1)-(10|1)+(1*10|1),2,2,0,4.0,1.1,2.9,0.0002999
2*10|1,4*10|1,0,(2*10|1)+(2*4*10|1)>(4*10|1),(2*10|1)-(10|1)+(4*10|1),2,2,0,4.0,1.1,2.9,0.000301325
2*10|1,5*10|1,0,(2*10|1)-(10|1)+(5*10|1),(2*10|1)-(10|1)+(5*10|1),2,2,0,4.0,4.0,0.0,0.000282898
2*10|1,1*7*10|1,1,(2*10|1)+(1*2*10|1)>(1*10|1)+(1*7*10|1),(2*10|1)-(10|1)+(1*10|1)+(1*7*10|1),3,3,0,5.0,2.1,2.9,0.000346991
2*10|1,2*7*10|1,1,(2*10|1)+(2*7*10|1),(2*10|1)+(2*7*10|1),1,1,0,1.0,1.0,0.0,0.00017996
2*10|1,4*7*10|1,1,(2*10|1)+(2*4*10|1)>(4*10|1)+(4*7*10|1),(2*10|1)-(10|1)+(4*10|1)+(4*7*10|1),3,3,0,5.0,2.1,2.9,0.000354147
2*10|1,1*4*7*10|1,2,(2*10|1)+(1*2*10|1)>(1*10|1)+(1*4*10|1)+(1*4*7*10|1),(2*10|1)-(10|1)+(1*10|1)+(1*4*10|1)+(1*4*7*10|1),4,4,0,6.0,3.1,2.9,0.000448876
2*10|1,5*7*10|1,1,(2*10|1)-(10|1)+(5*10|1)+(5*7*10|1),(2*10|1)-(10|1)+(5*10|1)+(5*7*10|1),3,3,0,5.0,5.0,0.0,0.000477946
2*10|1,8*10|1,0,(2*10|1)-(10|1)+(8*10|1),(2*10|1)-(10|1)+(8*10|1),2,2,0,4.0,4.0,0.0,0.000295778
2*10|1,4*7*9*10|1,2,(2*10|1)+(2*4*10|1)>(4*10|1)+(4*7*10|1)+(4*7*9*10|1),(2*10|1)-(10|1)+(4*10|1)+(4*7*10|1)+(4*7*9*10|1),4,4,0,6.0,3.1,2.9,0.000440944
2*10|1,11|1,-1,(2*10|1)+(2*10*11|1)+(2*8*10*11|1)>(2*11|1)-(11|1),(2*10|1)-(10|1)-(|1)+(11|1),3,4,-1,7.0,5.1,1.9,0.001013643
2*10|1,1*11|1,0,(2*10|1)+(1*2*10|1)>(1*10|1)-(1|1)+(1*11|1),(2*10|1)-(10|1)-(|1)+(1|1)+(1*11|1),4,4,0,8.0,5.1,2.9,0.000506422
2*10|1,1*7*11|1,1,(2*10|1)+(1*2*10|1)>(1*10|1)+(1*7*10|1)+(1*7*10*11|1)-(1*7*11|1),(2*10|1)-(10|1)-(|1)+(1|1)+(1*7|1)+(1*7*11|1),5,5,0,9.0,6.1,2.9,0.000852217
2*10|1,1*4*7*11|1,2,(2*10|1)+(1*2*10|1)+(1*2*4*10|1)+(1*2*4*10*11|1)>(1*4*10*11|1)>(1*11|1)+(1*4*11|1)+(1*4*7*11|1),(2*10|1)-(10|1)-(|1)+(1|1)+(1*4|1)+(1*4*7|1)+(1*4*7*11|1),6,7,-1,10.0,5.2,4.8,0.001466823
4*10|1,|1,-2,(4*10|1)+(2*4*10|1)+(2*4*8*10|1)>(2|1)-(|1),(4*10|1)-(10|1)-(|1),2,4,-2,6.0,5.1,0.9,0.002835046
4*10|1,1|1,-1,(4*10|1)+(1*4*10|1)>(1*10|1)-(1|1),(4*10|1)-(10|1)-(|1)+(1|1),3,3,0,7.0,4.1,2.9,0.000293467
4*10|1,2|1,-1,(4*10|1)+(2*4*10|1)+(2*4*8*10|1)>(2|1),(4*10|1)-(10|1)-(|1)+(2|1),3,3,0,7.0,2.1,4.9,0.000754125
4*10|1,3|1,-1,(4*10|1)+(3*4*10|1)+(2*3*4*10|1)+(2*3*4*6*10|1)>(3*4|1)-(3|1),(4*10|1)-(10|1)-(|1)+(3|1),3,5,-2,7.0,6.1,0.9,0.003825186
4*10|1,2*3|1,0,(4*10|1)+(2*4*10|1)+(2*4*8*10|1)>(2|1)+(2*3|1),(4*10|1)-(10|1)-(|1)+(2|1)+(2*3|1),4,4,0,8.0,3.1,4.9,0.001186493
4*10|1,4|1,-1,(4*10|1)-(4|1),(4*10|1)-(4|1),1,1,0,3.0,3.0,0.0,0.000184375
4*10|1,5|1,-1,(4*10|1)+(4*5*10|1)>(5*10|1)-(5|1),(4*10|1)-(10|1)-(|1)+(5|1),3,3,0,7.0,4.1,2.9,0.000295121
4*10|1,6|1,-1,(4*10|1)+(4*6*10|1)>(4*6|1)-(6|1),(4*10|1)-(10|1)-(|1)+(6|1),3,3,0,7.0,4.1,2.9,0.00029335
4*10|1,4*6|1,0,(4*10|1)+(4*6*10|1)>(4*6|1),(4*10|1)-(4|1)+(4*6|1),2,2,0,4.0,1.1,2.9,0.00029492
4*10|1,7|1,-1,(4*10|1)+(4*7*10|1)+(4*7*8*10|1)>(7*8|1)>(7|1),(4*10|1)-(10|1)-(|1)+(7|1),3,4,-1,7.0,2.2,4.8,0.000953
4*10|1,1*7|1,0,(4*10|1)+(1*4*10|1)>(1*10|1)-(1|1)+(1*7|1),(4*10|1)-(10|1)-(|1)+(1|1)+(1*7|1),4,4,0,8.0,5.1,2.9,0.000494679
4*10|1,5*7|1,0,(4*10|1)+(4*5*10|1)>(5*10|1)-(5|1)+(5*7|1),(4*10|1)-(10|1)-(|1)+(5|1)+(5*7|1),4,4,0,8.0,5.1,2.9,0.000520485
4*10|1,1*5*7|1,1,(4*10|1)+(1*4*10|1)>(1*10|1)+(1*5*10|1)+(1*5*7*10|1)-(1*5*7|1),(4*10|1)-(10|1)-(|1)+(1|1)+(1*5|1)+(1*5*7|1),5,5,0,9.0,6.1,2.9,0.00086899
4*10|1,4*5*7|1,1,(4*10|1)-(4|1)+(4*5|1)+(4*5*7|1),(4*10|1)-(4|1)+(4*5|1)+(4*5*7|1),3,3,0,5.0,5.0,0.0,0.000490278
4*10|1,1*4*5*7|1,2,(4*10|1)+(1*4*10|1)+(1*4*7*10|1)+(1*4*5*7*10|1)-(1*4*5*7|1),(4*10|1)-(4|1)+(1*4|1)+(1*4*5|1)+(1*4*5*7|1),4,4,0,6.0,6.0,0.0,0.000633179
4*10|1,8|1,-1,(4*10|1)+(4*8*10|1)>(8*10|1)-(8|1),(4*10|1)-(10|1)-(|1)+(8|1),3,3,0,7.0,4.1,2.9,0.000296347
4*10|1,9|1,-1,(4*10|1)+(4*9*10|1)>(4*9|1)-(9|1),(4*10|1)-(10|1)-(|1)+(9|1),3,3,0,7.0,4.1,2.9,0.000292192
4*10|1,1*9|1,0,(4*10|1)+(4*9*10|1)>(4*9|1)+(1*4*9|1)>(1*9|1),(4*10|1)-(10|1)-(|1)+(1|1)+(1*9|1),4,4,0,8.0,2.2,5.8,0.000550351
4*10|1,3*9|1,0,(4*10|1)+(3*4*10|1)+(3*4*9*10|1)>(3*4*9|1)-(3*9|1),(4*10|1)-(10|1)-(|1)+(3|1)+(3*9|1),4,4,0,8.0,5.1,2.9,0.00049078
4*10|1,4*9|1,0,(4*10|1)+(4*9*10|1)>(4*9|1),(4*10|1)-(4|1)+(4*9|1),2,2,0,4.0,1.1,2.9,0.000286518
4*10|1,5*9|1,0,(4*10|1)+(4*5*10|1)>(5*10|1)+(5*9*10|1)-(5*9|1),(4*10|1)-(10|1)-(|1)+(5|1)+(5*9|1),4,4,0,8.0,5.1,2.9,0.00053802
4*10|1,4*5*9|1,1,(4*10|1)+(4*9*10|1)>(4*9|1)+(4*5*9|1),(4*10|1)-(4|1)+(4*5|1)+(4*5*9|1),3,3,0,5.0,2.1,2.9,0.000495198
4*10|1,10|1,-1,(4*10|1)-(10|1),(4*10|1)-(10|1),1,1,0,3.0,3.0,0.0,0.000183163
4*10|1,1*10|1,0,(4*10|1)+(1*4*10|1)>(1*10|1),(4*10|1)-(10|1)+(1*10|1),2,2,0,4.0,1.1,2.9,0.000280455
4*10|1,2*10|1,0,(4*10|1)-(10|1)+(2*10|1),(4*10|1)-(10|1)+(2*10|1),2,2,0,4.0,4.0,0.0,0.000294756
4*10|1,5*10|1,0,(4*10|1)+(4*5*10|1)>(5*10|1),(4*10|1)-(10|1)+(5*10|1),2,2,0,4.0,1.1,2.9,0.000295388
4*10|1,1*7*10|1,1,(4*10|1)+(1*4*10|1)>(1*10|1)+(1*7*10|1),(4*10|1)-(10|1)+(1*10|1)+(1*7*10|1),3,3,0,5.0,2.1,2.9,0.000352919
4*10|1,2*7*10|1,1,(4*10|1)-(10|1)+(2*10|1)+(2*7*10|1),(4*10|1)-(10|1)+(2*10|1)+(2*7*10|1),3,3,0,5.0,5.0,0.0,0.000472992
4*10|1,4*7*10|1,1,(4*10|1)+(4*7*10|1),(4*10|1)+(4*7*10|1),1,1,0,1.0,1.0,0.0,0.000178637
4*10|1,1*4*7*10|1,2,(4*10|1)+(1*4*10|1)+(1*4*7*10|1),(4*10|1)+(1*4*10|1)+(1*4*7*10|1),2,2,0,2.0,2.0,0.0,0.000304224
4*10|1,5*7*10|1,1,(4*10|1)+(4*5*10|1)>(5*10|1)+(5*7*10|1),(4*10|1)-(10|1)+(5*10|1)+(5*7*10|1),3,3,0,5.0,2.1,2.9,0.000349782
4*10|1,8*10|1,0,(4*10|1)+(4*8*10|1)>(8*10|1),(4*10|1)-(10|1)+(8*10|1),2,2,0,4.0,1.1,2.9,0.00029287
4*10|1,4*7*9*10|1,2,(4*10|1)+(4*7*10|1)+(4*7*9*10|1),(4*10|1)+(4*7*10|1)+(4*7*9*10|1),2,2,0,2.0,2.0,0.0,0.000292962
4*10|1,11|1,-1,(4*10|1)+(4*10*11|1)+(1*4*10*11|1)>(1*11|1)-(11|1),(4*10|1)-(10|1)-(|1)+(11|1),3,4,-1,7.0,5.1,1.9,0.0009612
4*10|1,1*11|1,0,(4*10|1)+(1*4*10|1)+(1*4*10*11|1)>(1*11|1),(4*10|1)-(10|1)-(|1)+(1|1)+(1*11|1),4,3,1,8.0,2.1,5.9,0.000349133
4*10|1,1*7*11|1,1,(4*10|1)+(1*4*10|1)+(1*4*10*11|1)>(1*11|1)+(1*7*11|1),(4*10|1)-(10|1)-(|1)+(1|1)+(1*7|1)+(1*7*11|1),5,4,1,9.0,3.1,5.9,0.00049646
4*10|1,1*4*7*11|1,2,(4*10|1)+(1*4*10|1)+(1*4*10*11|1)>(1*11|1)+(1*4*11|1)+(1*4*7*11|1),(4*10|1)-(4|1)+(1*4|1)+(1*4*7|1)+(1*4*7*11|1),4,5,-1,6.0,4.1,1.9,0.000614039
5*10|1,|1,-2,(5*10|1)+(2*5*10|1)>(2*10|1)+(2*6*10|1)>(10|1)-(|1),(5*10|1)-(10|1)-(|1),2,5,-3,6.0,5.2,0.8,0.002470558
5*10|1,1|1,-1,(5*10|1)+(1*5*10|1)+(1*2*5*10|1)>(1*10|1)-(1|1),(5*10|1)-(10|1)-(|1)+(1|1),3,4,-1,7.0,5.1,1.9,0.000925538
5*10|1,2|1,-1,(5*10|1)+(2*5*10|1)>(2*10|1)-(2|1),(5*10|1)-(10|1)-(|1)+(2|1),3,3,0,7.0,4.1,2.9,0.000299113
5*10|1,3|1,-1,(5*10|1)+(3*5*10|1)+(2*3*5*10|1)+(1*2*3*5*10|1)>(1*3|1)-(3|1),(5*10|1)-(10|1)-(|1)+(3|1),3,5,-2,7.0,6.1,0.9,0.003634608
5*10|1,2*3|1,0,(5*10|1)+(2*5*10|1)>(2*10|1)-(2|1)+(2*3|1),(5*10|1)-(10|1)-(|1)+(2|1)+(2*3|1),4,4,0,8.0,5.1,2.9,0.00050283
